Tm:-TmDAV:  10    -0.256883295056E+02    0.10641E-07   -0.31612E-07   624   0.200E-02
Tm-Tm:TmDAV:  23     0.205439993525E+03   -0.22666E-06   -0.11507E-06  1536   0.227E-02
Tm-Tm:Tm-TmDAV:   4     0.436568586573E+03   -0.64381E-06   -0.62535E-06  2560   0.294E-02
Ac_s:DAV:  31    -0.101799268591E+02    0.31288E-07   -0.62769E-08   424   0.206E-03
Ac_s-Ac_s:DAV:   7     0.280508768420E+03    0.60291E-06   -0.10636E-06   840   0.791E-03
Ac_s:Ac_sDAV:  32    -0.191861098425E+01   -0.21739E-06   -0.74640E-08   608   0.228E-03
Ac_s:-Ac_sDAV:  23    -0.191864354249E+01   -0.73374E-06   -0.20511E-07   672   0.326E-03
Ac_s-Ac_s:Ac_sDAV:  42     0.288769744465E+03   -0.18871E-06   -0.45960E-08   528   0.187E-03
Ac_s-Ac_s:Ac_s-Ac_sDAV:   8     0.579458915403E+03   -0.51864E-06   -0.27344E-06  1192   0.178E-02
Cd:DAV:   5    -0.176035920234E+02    0.38096E-08   -0.45872E-07   536   0.358E-03
Cd-Cd:DAV:   2     0.118010312427E+03   -0.25285E-06   -0.55541E-07   624   0.430E-03
Cd:CdDAV:   4    -0.167659177660E+02   -0.56637E-06   -0.76679E-07   672   0.401E-03
Cd:-CdDAV:   4    -0.167659135867E+02   -0.31979E-06   -0.61921E-07   672   0.367E-03
Cd-Cd:CdDAV:  15     0.118847452494E+03   -0.86633E-06   -0.14256E-07   824   0.169E-03
Cd-Cd:Cd-CdDAV:   4     0.254463560697E+03   -0.17182E-07   -0.22798E-06   880   0.620E-03
Eu_2:DAV:   2    -0.167772580672E+02    0.57894E-07   -0.36038E-07   528   0.456E-03
Eu_2-Eu_2:DAV:  18     0.994287986698E+02   -0.11448E-06   -0.14708E-07   400   0.474E-03
Eu_2:Eu_2DAV:   5    -0.151131162852E+02    0.18057E-06   -0.44559E-06   464   0.146E-02
Eu_2:-Eu_2DAV:   5    -0.151131120466E+02    0.56340E-06   -0.67634E-07   432   0.127E-02
Eu_2-Eu_2:Eu_2DAV:   9     0.101093497275E+03    0.24249E-07   -0.37228E-07   744   0.644E-03
Eu_2-Eu_2:Eu_2-Eu_2DAV:  39     0.217299029319E+03   -0.77832E-06   -0.12661E-07   576   0.439E-03
He:DAV:   2    -0.184355536580E+02    0.67978E-08   -0.39274E-09   544   0.289E-04
He-He:DAV:   2    -0.163008270323E+02    0.64711E-09   -0.11422E-09   552   0.169E-04
He:HeDAV:   2    -0.184298569841E+02    0.11040E-07   -0.78764E-09   560   0.466E-04
He:-HeDAV:   2    -0.184298567883E+02    0.69024E-08   -0.75821E-09   568   0.452E-04
He-He:HeDAV:   2    -0.162951330100E+02    0.56371E-07   -0.55533E-08   520   0.122E-03
He-He:He-HeDAV:   2    -0.141604107461E+02    0.38506E-09   -0.48078E-08   480   0.140E-03
Mg:DAV:   3    -0.181184406098E+02    0.45769E-06   -0.36606E-07   528   0.173E-03
Mg-Mg:DAV:   2     0.929503625981E+01    0.18208E-06   -0.29990E-07   600   0.160E-03
Mg:MgDAV:  17    -0.177955631953E+02   -0.44214E-06   -0.18131E-07   512   0.187E-03
Mg:-MgDAV:  18    -0.177955625214E+02    0.31037E-06   -0.50357E-08   440   0.133E-03
Mg-Mg:MgDAV:  43     0.961798327126E+01   -0.37575E-06   -0.37869E-08   480   0.894E-04
Mg-Mg:Mg-MgDAV:   2     0.370317297090E+02    0.64180E-07   -0.18942E-07   584   0.221E-03
Np_s:DAV:  34    -0.293130546044E+02    0.48792E-07   -0.37486E-08   320   0.216E-03
Np_s-Np_s:DAV: 100     0.157460540179E+03    0.16448E-03   -0.80468E-06   872   0.230E-02
Np_s:Np_sDAV:   4    -0.401848449636E+02    0.10719E-06   -0.21492E-06   680   0.107E-02
Np_s:-Np_sDAV:   5    -0.401848421796E+02    0.15962E-06   -0.30088E-06   752   0.177E-02
Np_s-Np_s:Np_sDAV:  25     0.146593758982E+03   -0.38710E-06   -0.17658E-07   648   0.434E-03
Np_s-Np_s:Np_s-Np_sDAV:  46     0.333372406524E+03    0.86605E-06   -0.10175E-07   640   0.289E-03
Pt:DAV:   6    -0.233064998558E+02   -0.53127E-06   -0.29334E-07   424   0.464E-03
Pt-Pt:DAV:   5     0.943874172044E+02   -0.85871E-07   -0.57311E-08   688   0.197E-03
Pt:PtDAV:   4    -0.281680694291E+02    0.19101E-06   -0.10337E-07   656   0.211E-03
Pt:-PtDAV:   5    -0.281680687666E+02    0.25304E-06   -0.15203E-07   616   0.324E-03
Pt-Pt:PtDAV:  23     0.894989778547E+02   -0.44718E-06   -0.15542E-07   576   0.250E-03
Pt-Pt:Pt-PtDAV:  10     0.207216712660E+03   -0.31342E-06   -0.73362E-08   696   0.175E-03
Sm:       N       E                     dE             d eps       ncg     rms          rms(c)
Sm-Sm:       N       E                     dE             d eps       ncg     rms          rms(c)
Sm:Sm       N       E                     dE             d eps       ncg     rms          rms(c)
Sm:-Sm       N       E                     dE             d eps       ncg     rms          rms(c)
Sm-Sm:Sm       N       E                     dE             d eps       ncg     rms          rms(c)
Sm-Sm:Sm-Sm       N       E                     dE             d eps       ncg     rms          rms(c)
Tm_3:DAV:  10    -0.183191009064E+02    0.20148E-06   -0.24516E-07   528   0.525E-03
Tm_3-Tm_3:DAV:  42     0.107723642385E+03   -0.11139E-06   -0.11388E-07   704   0.174E-03
Tm_3:Tm_3DAV:   4    -0.181969099690E+02   -0.25385E-07   -0.12267E-07   744   0.200E-03
Tm_3:-Tm_3DAV:   4    -0.181969085915E+02   -0.21663E-07   -0.96517E-08   752   0.165E-03
Tm_3-Tm_3:Tm_3DAV:  10     0.107845751265E+03   -0.17648E-06   -0.13569E-06   712   0.843E-03
Tm_3-Tm_3:Tm_3-Tm_3DAV:   5     0.233888548152E+03    0.43342E-06   -0.37663E-07   832   0.723E-03
Ag:DAV:   5    -0.199779837216E+02    0.32709E-06   -0.15576E-06   592   0.745E-03
Ag-Ag:DAV:   7     0.878904814949E+02   -0.16758E-06   -0.13331E-07   632   0.226E-03
Ag:AgDAV:   7    -0.215147119194E+02    0.94902E-06   -0.10935E-07   600   0.200E-03
Ag:-AgDAV:   7    -0.215147122785E+02    0.17159E-06   -0.81955E-08   600   0.174E-03
Ag-Ag:AgDAV:  10     0.863485408287E+02   -0.82689E-06   -0.79155E-07   704   0.431E-03
Ag-Ag:Ag-AgDAV:   7     0.194222295781E+03    0.36247E-07   -0.20546E-07   744   0.248E-03
Ce:DAV:  27    -0.209995600942E+02    0.44495E-06   -0.16907E-08   304   0.761E-04
Ce-Ce:DAV:  33     0.199466232044E+03   -0.96241E-07   -0.38564E-08   584   0.105E-03
Ce:CeDAV:   5    -0.235570942924E+02    0.56471E-07   -0.13686E-06   568   0.106E-02
Ce:-CeDAV:   4    -0.235570936189E+02   -0.28391E-06   -0.25325E-06   688   0.839E-03
Ce-Ce:CeDAV:  22     0.196906374344E+03   -0.33516E-06   -0.11934E-07   720   0.209E-03
Ce-Ce:Ce-CeDAV:   8     0.417373767440E+03   -0.11349E-06   -0.47786E-07   672   0.457E-03
F:DAV:   8    -0.194059796577E+02   -0.50306E-06   -0.24801E-08   472   0.122E-03
F-F:DAV:   4    -0.124256570728E+02    0.91803E-07   -0.64259E-07   560   0.604E-03
F:FDAV:   8    -0.203181221056E+02   -0.47406E-06   -0.62760E-08   464   0.142E-03
F:-FDAV:   8    -0.203181213584E+02   -0.68969E-06   -0.60880E-08   464   0.135E-03
F-F:FDAV:   8    -0.134335846127E+02   -0.71206E-06   -0.34965E-08   584   0.139E-03
F-F:F-FDAV:   4    -0.641059239658E+01   -0.57848E-07   -0.20368E-07   696   0.320E-03
Hf:DAV:   5    -0.249638159135E+02    0.44878E-06   -0.43959E-07   472   0.278E-03
Hf-Hf:DAV:   7    -0.170949173843E+02   -0.35655E-06   -0.80472E-08   536   0.150E-03
Hf:HfDAV:   4    -0.314863558901E+02    0.90887E-06   -0.56823E-07   528   0.311E-03
Hf:-HfDAV:   5    -0.314863564440E+02   -0.43192E-06   -0.64789E-07   536   0.361E-03
Hf-Hf:HfDAV:   7    -0.236248679737E+02   -0.52331E-06   -0.89274E-07   488   0.480E-03
Hf-Hf:Hf-HfDAV:   6    -0.157478605963E+02   -0.25618E-07   -0.55149E-07   464   0.888E-03
Mg_pv:DAV:  44    -0.181718390241E+02   -0.50685E-06   -0.98414E-09   504   0.538E-04
Mg_pv-Mg_pv:DAV:  20     0.126994760938E+02    0.49965E-06   -0.12051E-08   496   0.704E-04
Mg_pv:Mg_pvDAV:  21    -0.179017976351E+02   -0.13158E-06   -0.10804E-08   360   0.692E-04
Mg_pv:-Mg_pvDAV:   5    -0.179018014884E+02   -0.11313E-06   -0.89213E-08   424   0.281E-03
Mg_pv-Mg_pv:Mg_pvDAV:  16     0.129693807775E+02    0.59037E-06   -0.16296E-07   616   0.218E-03
Mg_pv-Mg_pv:Mg_pv-Mg_pvDAV:   2     0.438400975814E+02    0.56696E-06   -0.22433E-06   616   0.489E-03
N_s:DAV:   6    -0.213719361517E+02   -0.55224E-06   -0.10104E-07   520   0.193E-03
N_s-N_s:DAV:   2    -0.291735237896E+02   -0.64088E-06   -0.24088E-07   560   0.301E-03
N_s:N_sDAV:   8    -0.242929325905E+02   -0.61011E-06   -0.30310E-08   544   0.111E-03
N_s:-N_sDAV:   8    -0.242929327088E+02   -0.40340E-06   -0.32612E-08   544   0.111E-03
N_s-N_s:N_sDAV:   9    -0.321354580366E+02    0.39418E-07   -0.12598E-07   408   0.347E-03
N_s-N_s:N_s-N_sDAV:   5    -0.399042724239E+02   -0.11030E-06   -0.88363E-08   704   0.263E-03
Pu:DAV:  46    -0.313099782078E+02   -0.35623E-07   -0.10656E-08   256   0.661E-04
Pu-Pu:DAV:  38     0.165408256396E+03   -0.19817E-06   -0.22544E-08   480   0.153E-03
Pu:PuDAV:   8    -0.441773606489E+02   -0.22333E-06   -0.28850E-07   504   0.432E-03
Pu:-PuDAV:   2    -0.441773609805E+02    0.80493E-06   -0.37011E-06   720   0.127E-02
