what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare",1353440568404
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353440580398
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.views.showView",1353440649232
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.views.showView",1353440649232
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353440649379
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353440666116
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.install",1353440726752
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353440726965
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353440732684
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1353440865358
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1353440877296
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1353440881378
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.selectAll",1353440882732
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1353440883253
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353440906097
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353440910570
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.extensionlocation",1353440924999
started,bundle,org.eclipse.equinox.p2.publisher,1.0.1.R35x_20100105,"org.eclipse.equinox.p2.publisher",1353440925108
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,1.0.101.R35x_20090820-1821,"org.eclipse.equinox.p2.touchpoint.eclipse",1353440925131
error,log,,,"Operation details",1353440926097
error,log,,,"Operation details",1353440926098
error,log,,,"Operation details",1353440926104
error,log,,,"Operation details",1353440926155
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.install",1353440942941
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353440943223
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.views.showView",1353440963525
started,bundle,org.eclipse.help.base,3.4.0.v201002111343,"org.eclipse.help.base",1353440976393
started,bundle,org.eclipse.help.ui,3.4.1.v20090819_35x,"org.eclipse.help.ui",1353440976436
started,bundle,org.eclipse.ui.cheatsheets,3.3.200.v20090526,"org.eclipse.ui.cheatsheets",1353440976572
started,bundle,org.eclipse.ui.intro,3.3.2.v20100111_35x,"org.eclipse.ui.intro",1353440976574
opened,view,org.eclipse.help.ui,3.4.1.v20090819_35x,"org.eclipse.help.ui.HelpView",1353440976951
started,bundle,org.eclipse.ui.intro.universal,3.2.300.v20090526,"org.eclipse.ui.intro.universal",1353440977327
activated,view,org.eclipse.help.ui,3.4.1.v20090819_35x,"org.eclipse.help.ui.HelpView",1353440977351
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.help.helpSearch",1353440977783
activated,view,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.sync.views.SynchronizeView",1353440983006
activated,view,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui.GenericHistoryView",1353440986261
activated,view,org.eclipse.help.ui,3.4.1.v20090819_35x,"org.eclipse.help.ui.HelpView",1353440990261
activated,view,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.sync.views.SynchronizeView",1353441012816
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353441018932
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.newWizard",1353441035212
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353441035447
activated,view,org.eclipse.help.ui,3.4.1.v20090819_35x,"org.eclipse.help.ui.HelpView",1353441039960
activated,view,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.sync.views.SynchronizeView",1353441039967
closed,view,org.eclipse.help.ui,3.4.1.v20090819_35x,"org.eclipse.help.ui.HelpView",1353441040013
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353441059651
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353441064187
started,bundle,org.python.pydev.debug,1.5.6.2010033101,"org.python.pydev.debug",1353441064616
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353441068639
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353441072187
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353441076579
started,bundle,org.python.pydev.parser,1.5.6.2010033101,"org.python.pydev.parser",1353441141384
error,log,,,"The encoding found: >>uft-8<< on /usr/lib64/python2.6/test/bad_coding.py is not a valid encoding.",1353441751648
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353442379164
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353442393871
error,log,,,"The encoding found: >>uft-8<< on /usr/lib64/python2.6/test/bad_coding.py is not a valid encoding.",1353442412289
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353442439761
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353442446647
opened,view,org.python.pydev,1.5.6.2010033101,"org.python.pydev.navigator.view",1353442480773
activated,perspective,org.python.pydev,1.5.6.2010033101,"org.python.pydev.ui.PythonPerspective",1353442481162
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ProblemView",1353442481168
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353442482055
activated,view,org.python.pydev,1.5.6.2010033101,"org.python.pydev.navigator.view",1353442488432
started,bundle,org.eclipse.cdt.make.core,6.0.0.201002161416,"org.eclipse.cdt.make.core",1353442488528
started,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1353442488706
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353442494908
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353442511999
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353442522961
activated,perspective,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui.TeamSynchronizingPerspective",1353442528757
activated,view,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui.GenericHistoryView",1353442528759
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.perspectives.showPerspective",1353442528826
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.perspectives.showPerspective",1353442528826
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353442529003
activated,view,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.sync.views.SynchronizeView",1353442530892
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353442552890
started,bundle,com.python.pydev,1.5.6.2010033101,"com.python.pydev",1353442637450
started,bundle,com.python.pydev.refactoring,1.5.6.2010033101,"com.python.pydev.refactoring",1353442637563
started,bundle,org.python.pydev.django,1.5.6.2010033101,"org.python.pydev.django",1353442637592
started,bundle,org.python.pydev.refactoring,1.5.6.2010033101,"org.python.pydev.refactoring",1353442637713
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring",1353442637742
started,bundle,org.python.pydev.jython,1.5.6.2010033101,"org.python.pydev.jython",1353442641094
started,bundle,com.python.pydev.codecompletion,1.5.6.2010033101,"com.python.pydev.codecompletion",1353442641230
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1353442641534
opened,editor,org.python.pydev,1.5.6.2010033101,"org.python.pydev.editor.PythonEditor",1353442641562
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1353442642012
activated,editor,org.python.pydev,1.5.6.2010033101,"org.python.pydev.editor.PythonEditor",1353442642332
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.edit.text.openLocalFile",1353442642403
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353442642405
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353442680937
activated,perspective,org.python.pydev,1.5.6.2010033101,"org.python.pydev.ui.PythonPerspective",1353442683106
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.perspectives.showPerspective",1353442683218
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.perspectives.showPerspective",1353442683218
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353442683828
activated,view,org.python.pydev,1.5.6.2010033101,"org.python.pydev.navigator.view",1353442687040
activated,editor,org.python.pydev,1.5.6.2010033101,"org.python.pydev.editor.PythonEditor",1353442694179
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353442697128
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.saveAs",1353442719086
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353442719088
activated,view,org.python.pydev,1.5.6.2010033101,"org.python.pydev.navigator.view",1353442721250
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353442732061
started,bundle,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui",1353442766367
executed,command,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1353442767022
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353442767338
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353442793182
executed,command,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1353442796356
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.rename",1353442796356
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353442796870
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.refresh",1353442799443
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353442807088
executed,command,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1353442811444
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353442811497
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353442816692
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353442924667
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353442938385
executed,command,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1353442941295
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353442941572
started,bundle,org.eclipse.cdt.debug.core,6.0.0.201002161416,"org.eclipse.cdt.debug.core",1353442947025
started,bundle,org.eclipse.cdt.debug.ui,6.0.0.201002161416,"org.eclipse.cdt.debug.ui",1353442947061
started,bundle,org.python.pydev.customizations,1.5.6.2010033101,"org.python.pydev.customizations",1353442947097
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353442954361
no handler,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1353443028692
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1353443051569
no handler,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1353443073112
error,log,,,"Failed to create repository at /.git",1353443080386
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353443166842
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353443180777
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353443217357
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.refresh",1353443239360
error,log,,,"Failed to update index",1353443256799
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353443257284
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353443261810
error,log,,,"Failed to update index",1353443298902
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353443299516
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353443304220
error,log,,,"Add to Version Control failed",1353443328305
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353443328464
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353443332235
error,log,,,"Add to Version Control failed",1353443356984
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353443357398
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353443359378
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353443368947
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353443391417
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353443398957
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353443443580
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.201002161416,"org.eclipse.cdt.debug.mi.ui",1353443444110
stopped,bundle,org.eclipse.cdt.debug.mi.core,6.0.0.201002161416,"org.eclipse.cdt.debug.mi.core",1353443444111
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.0.0.201002161416,"org.eclipse.cdt.dsf.gdb.ui",1353443444111
stopped,bundle,org.eclipse.cdt.dsf.ui,2.0.1.201002161416,"org.eclipse.cdt.dsf.ui",1353443444111
stopped,bundle,org.eclipse.photran.ui.vpg,5.0.0.201002011019,"org.eclipse.photran.ui.vpg",1353443444111
stopped,bundle,org.eclipse.photran.core.vpg,5.0.0.201002011019,"org.eclipse.photran.core.vpg",1353443444112
stopped,bundle,org.eclipse.photran.managedbuilder.intel.ui,5.0.0.201002011019,"org.eclipse.photran.managedbuilder.intel.ui",1353443444112
stopped,bundle,org.eclipse.photran.managedbuilder.core,5.0.0.201002011019,"org.eclipse.photran.managedbuilder.core",1353443444112
stopped,bundle,org.eclipse.photran.ui,5.0.0.201002011019,"org.eclipse.photran.ui",1353443444112
stopped,bundle,org.eclipse.photran.cdtinterface,5.0.0.201002011019,"org.eclipse.photran.cdtinterface",1353443444112
stopped,bundle,org.eclipse.cdt.launch,6.0.0.201002161416,"org.eclipse.cdt.launch",1353443444112
stopped,bundle,org.eclipse.cdt.debug.ui,6.0.0.201002161416,"org.eclipse.cdt.debug.ui",1353443444112
stopped,bundle,org.eclipse.cdt.dsf.gdb,2.0.0.201002161416,"org.eclipse.cdt.dsf.gdb",1353443444112
stopped,bundle,org.eclipse.cdt.dsf,2.0.0.201002161416,"org.eclipse.cdt.dsf",1353443444112
stopped,bundle,org.eclipse.ptp.debug.ui,2.1.0.201002011019,"org.eclipse.ptp.debug.ui",1353443444113
stopped,bundle,org.eclipse.cdt.debug.core,6.0.0.201002161416,"org.eclipse.cdt.debug.core",1353443444113
stopped,bundle,org.eclipse.photran.managedbuilder.ui,5.0.0.201002011019,"org.eclipse.photran.managedbuilder.ui",1353443444113
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,5.1.0.201002161416,"org.eclipse.cdt.managedbuilder.ui",1353443444113
stopped,bundle,org.eclipse.cdt.make.ui,6.0.1.201002161416,"org.eclipse.cdt.make.ui",1353443444113
stopped,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,5.0.100.201002161416,"org.eclipse.cdt.managedbuilder.gnu.ui",1353443444113
stopped,bundle,org.eclipse.cdt.managedbuilder.core,6.0.0.201002161416,"org.eclipse.cdt.managedbuilder.core",1353443444113
stopped,bundle,org.eclipse.cdt.make.core,6.0.0.201002161416,"org.eclipse.cdt.make.core",1353443444113
stopped,bundle,org.eclipse.cdt.mylyn.ui,1.0.100.201002161416,"org.eclipse.cdt.mylyn.ui",1353443444113
stopped,bundle,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui",1353443444115
stopped,bundle,org.eclipse.photran.core,5.0.0.201002011019,"org.eclipse.photran.core",1353443444115
stopped,bundle,org.eclipse.photran.core.intel,5.0.1.201002011019,"org.eclipse.photran.core.intel",1353443444115
stopped,bundle,org.eclipse.photran.errorparsers.xlf,5.0.0.201002011019,"org.eclipse.photran.errorparsers.xlf",1353443444115
stopped,bundle,org.eclipse.cdt.core,5.1.2.201002161416,"org.eclipse.cdt.core",1353443444117
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1353443444117
stopped,bundle,org.eclipse.mylyn.ide.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.ide.ui",1353443444117
stopped,bundle,org.eclipse.mylyn.team.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.team.ui",1353443444117
stopped,bundle,org.eclipse.mylyn.resources.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.resources.ui",1353443444117
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.1.3.v20100217-0100-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1353443444117
stopped,bundle,org.eclipse.mylyn.context.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.ui",1353443444118
stopped,bundle,org.eclipse.mylyn.help.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.help.ui",1353443444118
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.bugs",1353443444118
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.ui",1353443444118
stopped,bundle,com.python.pydev.codecompletion,1.5.6.2010033101,"com.python.pydev.codecompletion",1353443444118
