what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354566586210
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354566984411
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354566984990
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354567038364
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354567093254
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354567099212
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354567204138
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354567288802
activated,editor,org.python.pydev,1.5.6.2010033101,"org.python.pydev.editor.PythonEditor",1354567325601
activated,editor,org.python.pydev,1.5.6.2010033101,"org.python.pydev.editor.PythonEditor",1354567340974
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354567396983
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354567457472
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354567458223
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354567498906
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354567500762
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354567621735
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354567624945
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354567641820
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354567693290
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354568446597
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354568449995
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354568451772
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354568453586
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354568708197
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.findReplace",1354568759048
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354568759540
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354568775318
activated,editor,org.python.pydev,1.5.6.2010033101,"org.python.pydev.editor.PythonEditor",1354568801043
activated,editor,org.python.pydev,1.5.6.2010033101,"org.python.pydev.editor.PythonEditor",1354568814095
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1354568823171
activated,editor,org.python.pydev,1.5.6.2010033101,"org.python.pydev.editor.PythonEditor",1354568824947
closed,editor,org.python.pydev,1.5.6.2010033101,"org.python.pydev.editor.PythonEditor",1354568831813
activated,editor,org.python.pydev,1.5.6.2010033101,"org.python.pydev.editor.PythonEditor",1354568835231
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.findReplace",1354568868612
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354568868836
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354568913422
activated,editor,org.python.pydev,1.5.6.2010033101,"org.python.pydev.editor.PythonEditor",1354568971503
activated,editor,org.python.pydev,1.5.6.2010033101,"org.python.pydev.editor.PythonEditor",1354568982091
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.findReplace",1354568986499
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354568986685
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354569041663
activated,editor,org.python.pydev,1.5.6.2010033101,"org.python.pydev.editor.PythonEditor",1354569041844
