what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.refresh",1354572469596
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.DebugLast",1354572471401
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1354572476524
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1354572492307
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354572510375
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354572630861
activated,editor,org.python.pydev,1.5.6.2010033101,"org.python.pydev.editor.PythonEditor",1354572639322
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.DebugLast",1354572651111
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1354572655630
activated,editor,org.python.pydev,1.5.6.2010033101,"org.python.pydev.editor.PythonEditor",1354572660282
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1354572664150
activated,editor,org.python.pydev,1.5.6.2010033101,"org.python.pydev.editor.PythonEditor",1354572666724
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1354572669547
activated,editor,org.python.pydev,1.5.6.2010033101,"org.python.pydev.editor.PythonEditor",1354572671187
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1354572674380
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1354572676431
activated,editor,org.python.pydev,1.5.6.2010033101,"org.python.pydev.editor.PythonEditor",1354572677273
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1354572689375
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1354572689948
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1354572691075
activated,editor,org.python.pydev,1.5.6.2010033101,"org.python.pydev.editor.PythonEditor",1354572694076
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1354572696006
activated,editor,org.python.pydev,1.5.6.2010033101,"org.python.pydev.editor.PythonEditor",1354572706588
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354572710183
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354572724620
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354572731154
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354573127922
executed,command,org.python.pydev,1.5.6.2010033101,"org.python.pydev.editor.actions.uncomment",1354573146212
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1354573150551
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1354573157028
executed,command,org.python.pydev,1.5.6.2010033101,"org.python.pydev.editor.actions.togglecomment",1354573163059
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1354573165434
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354573168504
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354573182825
activated,editor,org.python.pydev,1.5.6.2010033101,"org.python.pydev.editor.PythonEditor",1354573183086
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1354573188283
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1354573190172
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1354573190882
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1354573198920
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1354573199961
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1354573201012
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1354573226614
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354573236093
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354573261124
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354573276677
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354574380255
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354574383886
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354574547404
activated,editor,org.python.pydev,1.5.6.2010033101,"org.python.pydev.editor.PythonEditor",1354574553827
activated,editor,org.python.pydev,1.5.6.2010033101,"org.python.pydev.editor.PythonEditor",1354574562775
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1354574567329
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.201002161416,"org.eclipse.cdt.debug.mi.ui",1354574568287
stopped,bundle,org.eclipse.cdt.debug.mi.core,6.0.0.201002161416,"org.eclipse.cdt.debug.mi.core",1354574568287
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.0.0.201002161416,"org.eclipse.cdt.dsf.gdb.ui",1354574568287
stopped,bundle,org.eclipse.cdt.dsf.ui,2.0.1.201002161416,"org.eclipse.cdt.dsf.ui",1354574568288
stopped,bundle,org.eclipse.photran.ui.vpg,5.0.0.201002011019,"org.eclipse.photran.ui.vpg",1354574568288
stopped,bundle,org.eclipse.photran.core.vpg,5.0.0.201002011019,"org.eclipse.photran.core.vpg",1354574568288
stopped,bundle,org.eclipse.photran.managedbuilder.intel.ui,5.0.0.201002011019,"org.eclipse.photran.managedbuilder.intel.ui",1354574568288
stopped,bundle,org.eclipse.photran.managedbuilder.core,5.0.0.201002011019,"org.eclipse.photran.managedbuilder.core",1354574568288
stopped,bundle,org.eclipse.photran.ui,5.0.0.201002011019,"org.eclipse.photran.ui",1354574568289
stopped,bundle,org.eclipse.photran.cdtinterface,5.0.0.201002011019,"org.eclipse.photran.cdtinterface",1354574568289
stopped,bundle,org.eclipse.cdt.launch,6.0.0.201002161416,"org.eclipse.cdt.launch",1354574568289
stopped,bundle,org.eclipse.cdt.debug.ui,6.0.0.201002161416,"org.eclipse.cdt.debug.ui",1354574568304
stopped,bundle,org.eclipse.cdt.dsf.gdb,2.0.0.201002161416,"org.eclipse.cdt.dsf.gdb",1354574568304
stopped,bundle,org.eclipse.cdt.dsf,2.0.0.201002161416,"org.eclipse.cdt.dsf",1354574568304
stopped,bundle,org.eclipse.ptp.debug.ui,2.1.0.201002011019,"org.eclipse.ptp.debug.ui",1354574568304
stopped,bundle,org.eclipse.cdt.debug.core,6.0.0.201002161416,"org.eclipse.cdt.debug.core",1354574568304
stopped,bundle,org.eclipse.photran.managedbuilder.ui,5.0.0.201002011019,"org.eclipse.photran.managedbuilder.ui",1354574568304
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,5.1.0.201002161416,"org.eclipse.cdt.managedbuilder.ui",1354574568304
stopped,bundle,org.eclipse.cdt.make.ui,6.0.1.201002161416,"org.eclipse.cdt.make.ui",1354574568304
stopped,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,5.0.100.201002161416,"org.eclipse.cdt.managedbuilder.gnu.ui",1354574568304
stopped,bundle,org.eclipse.cdt.managedbuilder.core,6.0.0.201002161416,"org.eclipse.cdt.managedbuilder.core",1354574568305
stopped,bundle,org.eclipse.cdt.make.core,6.0.0.201002161416,"org.eclipse.cdt.make.core",1354574568305
stopped,bundle,org.eclipse.cdt.mylyn.ui,1.0.100.201002161416,"org.eclipse.cdt.mylyn.ui",1354574568305
stopped,bundle,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui",1354574568305
stopped,bundle,org.eclipse.photran.core,5.0.0.201002011019,"org.eclipse.photran.core",1354574568305
stopped,bundle,org.eclipse.photran.core.intel,5.0.1.201002011019,"org.eclipse.photran.core.intel",1354574568305
stopped,bundle,org.eclipse.photran.errorparsers.xlf,5.0.0.201002011019,"org.eclipse.photran.errorparsers.xlf",1354574568305
stopped,bundle,org.eclipse.cdt.core,5.1.2.201002161416,"org.eclipse.cdt.core",1354574568344
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1354574568344
stopped,bundle,org.eclipse.mylyn.ide.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.ide.ui",1354574568344
stopped,bundle,org.eclipse.mylyn.team.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.team.ui",1354574568344
stopped,bundle,org.eclipse.mylyn.resources.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.resources.ui",1354574568344
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.1.3.v20100217-0100-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1354574568344
stopped,bundle,org.eclipse.mylyn.context.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.ui",1354574568345
stopped,bundle,org.eclipse.mylyn.help.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.help.ui",1354574568345
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.bugs",1354574568345
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.ui",1354574568353
stopped,bundle,com.python.pydev.codecompletion,1.5.6.2010033101,"com.python.pydev.codecompletion",1354574568353
stopped,bundle,com.python.pydev.refactoring,1.5.6.2010033101,"com.python.pydev.refactoring",1354574568353
stopped,bundle,com.python.pydev.analysis,1.5.6.2010033101,"com.python.pydev.analysis",1354574568353
stopped,bundle,com.python.pydev.debug,1.5.6.2010033101,"com.python.pydev.debug",1354574568353
stopped,bundle,com.python.pydev.fastparser,1.5.6.2010033101,"com.python.pydev.fastparser",1354574568354
stopped,bundle,com.python.pydev,1.5.6.2010033101,"com.python.pydev",1354574568354
stopped,bundle,org.python.pydev.django,1.5.6.2010033101,"org.python.pydev.django",1354574568354
stopped,bundle,org.python.pydev.customizations,1.5.6.2010033101,"org.python.pydev.customizations",1354574568354
stopped,bundle,org.python.pydev.debug,1.5.6.2010033101,"org.python.pydev.debug",1354574568358
stopped,bundle,org.python.pydev.refactoring,1.5.6.2010033101,"org.python.pydev.refactoring",1354574568358
stopped,bundle,org.python.pydev.templates,1.5.6.2010033101,"org.python.pydev.templates",1354574568358
stopped,bundle,org.python.pydev,1.5.6.2010033101,"org.python.pydev",1354574568407
stopped,bundle,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui",1354574568454
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.200.v20090930-2100_R35x,"org.eclipse.jdt.apt.ui",1354574568454
stopped,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1354574568454
stopped,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1354574568454
stopped,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1354574568564
stopped,bundle,org.eclipse.ptp.ui,3.0.0.201002011019,"org.eclipse.ptp.ui",1354574568564
stopped,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1354574568619
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring",1354574568621
stopped,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1354574568621
stopped,bundle,org.eclipse.team.svn.ui,0.7.8.I20091023-1300,"org.eclipse.team.svn.ui",1354574568621
stopped,bundle,org.eclipse.egit.ui,0.7.1,"org.eclipse.egit.ui",1354574568625
