what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.debug.ui,6.0.0.201002161416,"org.eclipse.cdt.debug.ui",1353557142016
started,bundle,org.python.pydev.customizations,1.5.6.2010033101,"org.python.pydev.customizations",1353557142053
error,log,,,"Git team provider configuration has gone missing.",1353557142632
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353557143965
executed,command,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1353557146901
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353557147057
error,log,,,"Git team provider configuration has gone missing.",1353557148395
error,log,,,"Git team provider configuration has gone missing.",1353557148411
error,log,,,"Git team provider configuration has gone missing.",1353557148425
error,log,,,"Git team provider configuration has gone missing.",1353557148439
error,log,,,"Git team provider configuration has gone missing.",1353557148452
error,log,,,"Git team provider configuration has gone missing.",1353557148464
error,log,,,"Git team provider configuration has gone missing.",1353557148476
error,log,,,"Git team provider configuration has gone missing.",1353557148487
error,log,,,"Git team provider configuration has gone missing.",1353557148499
error,log,,,"Git team provider configuration has gone missing.",1353557148511
error,log,,,"Git team provider configuration has gone missing.",1353557148847
started,bundle,org.eclipse.photran.ui.vpg,5.0.0.201002011019,"org.eclipse.photran.ui.vpg",1353557150822
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353557152624
error,log,,,"Git team provider configuration has gone missing.",1353557152661
error,log,,,"Git team provider configuration has gone missing.",1353557154843
executed,command,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1353557155447
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353557155600
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353557164577
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1353557175038
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.import",1353557214467
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353557214628
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353557227048
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353557286849
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353557295004
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1353557298824
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.import",1353557387175
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353557387516
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353557399546
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.import",1353557404896
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353557405042
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353557418176
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.perspectives.showPerspective",1353557425130
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.perspectives.showPerspective",1353557425130
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353557425478
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353557429980
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1353557435127
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.import",1353557447150
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353557447489
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353557449948
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1353557451961
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.201002161416,"org.eclipse.cdt.debug.mi.ui",1353557453257
stopped,bundle,org.eclipse.cdt.debug.mi.core,6.0.0.201002161416,"org.eclipse.cdt.debug.mi.core",1353557453297
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.0.0.201002161416,"org.eclipse.cdt.dsf.gdb.ui",1353557453299
