The integer vectors in the final columns of each
permutation listing describe how a list 1, 2, ...
gets permuted. So "2 1" implies that element 2 is
mapped to position 1, and the first one ends up in 
second position.
Number of permutations:  144
Perm #:    85 Perm:    1    9    5    7    3   11   10    6    8    4   12    2
Perm #:    86 Perm:    6    8    4   12    2   10    9    5    7    3   11    1
Perm #:    87 Perm:    5    7    3   11    1    9    8    4   12    2   10    6
Perm #:    88 Perm:    4   12    2   10    6    8    7    3   11    1    9    5
Perm #:    89 Perm:    3   11    1    9    5    7   12    2   10    6    8    4
Perm #:    90 Perm:    2   10    6    8    4   12   11    1    9    5    7    3
Perm #:    91 Perm:    7    3   11    1    9    5    4   12    2   10    6    8
Perm #:    92 Perm:   12    2   10    6    8    4    3   11    1    9    5    7
Perm #:    93 Perm:   11    1    9    5    7    3    2   10    6    8    4   12
Perm #:    94 Perm:   10    6    8    4   12    2    1    9    5    7    3   11
Perm #:    95 Perm:    9    5    7    3   11    1    6    8    4   12    2   10
Perm #:    96 Perm:    8    4   12    2   10    6    5    7    3   11    1    9
Perm #:    97 Perm:    1   11    3    7    5    9    4    8    6   10    2   12
Perm #:    98 Perm:    6   10    2   12    4    8    3    7    5    9    1   11
Perm #:    99 Perm:    5    9    1   11    3    7    2   12    4    8    6   10
Perm #:   100 Perm:    4    8    6   10    2   12    1   11    3    7    5    9
Perm #:   101 Perm:    3    7    5    9    1   11    6   10    2   12    4    8
Perm #:   102 Perm:    2   12    4    8    6   10    5    9    1   11    3    7
Perm #:   103 Perm:    7    5    9    1   11    3   10    2   12    4    8    6
Perm #:   104 Perm:   12    4    8    6   10    2    9    1   11    3    7    5
Perm #:   105 Perm:   11    3    7    5    9    1    8    6   10    2   12    4
Perm #:   106 Perm:   10    2   12    4    8    6    7    5    9    1   11    3
Perm #:   107 Perm:    9    1   11    3    7    5   12    4    8    6   10    2
Perm #:   108 Perm:    8    6   10    2   12    4   11    3    7    5    9    1
Perm #:   109 Perm:    1   11    3    7    5    9   10    2   12    4    8    6
Perm #:   110 Perm:    6   10    2   12    4    8    9    1   11    3    7    5
Perm #:   111 Perm:    5    9    1   11    3    7    8    6   10    2   12    4
Perm #:   112 Perm:    4    8    6   10    2   12    7    5    9    1   11    3
Perm #:   113 Perm:    3    7    5    9    1   11   12    4    8    6   10    2
Perm #:   114 Perm:    2   12    4    8    6   10   11    3    7    5    9    1
Perm #:   115 Perm:    7    5    9    1   11    3    4    8    6   10    2   12
Perm #:   116 Perm:   12    4    8    6   10    2    3    7    5    9    1   11
Perm #:   117 Perm:   11    3    7    5    9    1    2   12    4    8    6   10
Perm #:   118 Perm:   10    2   12    4    8    6    1   11    3    7    5    9
Perm #:   119 Perm:    9    1   11    3    7    5    6   10    2   12    4    8
Perm #:   120 Perm:    8    6   10    2   12    4    5    9    1   11    3    7
Perm #:   121 Perm:    1   12    5   10    3    8    4    9    2    7    6   11
Perm #:   122 Perm:    6   11    4    9    2    7    3    8    1   12    5   10
Perm #:   123 Perm:    5   10    3    8    1   12    2    7    6   11    4    9
Perm #:   124 Perm:    4    9    2    7    6   11    1   12    5   10    3    8
Perm #:   125 Perm:    3    8    1   12    5   10    6   11    4    9    2    7
Perm #:   126 Perm:    2    7    6   11    4    9    5   10    3    8    1   12
Perm #:   127 Perm:    7    6   11    4    9    2   10    3    8    1   12    5
Perm #:   128 Perm:   12    5   10    3    8    1    9    2    7    6   11    4
Perm #:   129 Perm:   11    4    9    2    7    6    8    1   12    5   10    3
Perm #:   130 Perm:   10    3    8    1   12    5    7    6   11    4    9    2
Perm #:   131 Perm:    9    2    7    6   11    4   12    5   10    3    8    1
Perm #:   132 Perm:    8    1   12    5   10    3   11    4    9    2    7    6
Perm #:   133 Perm:    1   12    5   10    3    8    7    6   11    4    9    2
Perm #:   134 Perm:    6   11    4    9    2    7   12    5   10    3    8    1
Perm #:   135 Perm:    5   10    3    8    1   12   11    4    9    2    7    6
Perm #:   136 Perm:    4    9    2    7    6   11   10    3    8    1   12    5
Perm #:   137 Perm:    3    8    1   12    5   10    9    2    7    6   11    4
Perm #:   138 Perm:    2    7    6   11    4    9    8    1   12    5   10    3
Perm #:   139 Perm:    7    6   11    4    9    2    1   12    5   10    3    8
Perm #:   140 Perm:   12    5   10    3    8    1    6   11    4    9    2    7
Perm #:   141 Perm:   11    4    9    2    7    6    5   10    3    8    1   12
Perm #:   142 Perm:   10    3    8    1   12    5    4    9    2    7    6   11
Perm #:   143 Perm:    9    2    7    6   11    4    3    8    1   12    5   10
Perm #:   144 Perm:    8    1   12    5   10    3    2    7    6   11    4    9
